row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm
1,1,10.071078941762542,[0.00015913 0.00031333],5.120095729827881,[0.00010058 0.00012355],[ 66.75485456 166.89035113],[ 37.01290748 153.53231837],2,10.452821016311646
1,2,10.37058022050655,[0.0001255  0.00024989],6.981504917144775,[0.00011085 0.00013377],[ 48.09591848 987.82752629],[67.9375895  36.79876626],2,15.226066827774048
1,3,15.007143999275138,[0.00035475 0.00176304 0.00140829],7.4594502449035645,[0.00123625 0.0002602 ],[  3.58641842 124.73562887],[107.61614438 131.94768667],2,37.66726565361023
1,4,19.80927942340052,[0.00229328],2.817124366760254,[0.00283339],[1.00000075],[47.40843952],1,9.054994344711304
1,5,5.270200924169459,[0.00037468 0.00108546 0.00071078],5.528325319290161,[0.00011604 0.00026565],[11.06840688 16.09071199],[9.82211309 6.17887637],2,17.46262550354004
1,6,20.162649385707127,[0.00025648 0.00017629 0.00043277 0.00275257 0.00257629],5.282007932662964,[0.00031271 0.00264261],[244.23896809   1.        ],[ 96.52997434 141.57142874],2,20.672757148742676
1,7,11.890385592953335,[0.00018436 0.00036841 0.00055278],5.627448797225952,[0.00013547 0.00039485],[103.80061863  15.66860943],[93.03482209 74.51206475],2,9.503456830978394
1,8,20.72988241739175,[0.00451365],2.5466744899749756,[0.00451368],[1.],[123.74994647],1,8.394891738891602
1,9,0.8627602746035372,[0.00168608 0.00016406 0.00185014],6.352568864822388,[0.00170944 0.0001146 ],[  334.78000394 14467.44865182],[108.85190115  53.50694815],2,48.599008321762085
1,10,13.628454741162017,[0.00020365 0.00038952 0.00018587],3.809080123901367,[0.00010965 0.00012043],[ 18.74118957 416.56938567],[73.74989604 57.2090966 ],2,30.625948429107666
1,11,7.753874404805774,[0.00019039 0.00038232],5.8102898597717285,[0.00010684 0.00019165],[21.60674392 98.3010237 ],[23.43474442 74.63760474],2,7.38612699508667
1,12,9.513201123701872,[0.0002836  0.00030145 0.00058505],6.87178373336792,[0.00019062 0.00012524],[4.29446430e+01 5.85864007e+04],[ 52.30680328 120.43301714],2,37.49585580825806
1,13,19.87779892651146,[0.00015612],2.6425211429595947,[0.00012588],[73.18557259],[67.45181681],1,4.283674955368042
1,14,10.99000672787039,[0.00019312],2.898571252822876,[0.00013324],[107.95323438],[67.82733551],1,6.195047378540039
1,15,9.69748566592034,[0.00014542],4.413160800933838,[0.00011155],[50.95043951],[29.35751132],1,4.230963230133057
1,16,9.84400689070019,[0.00015253 0.00018445 0.00033698],4.607372522354126,[0.00017268 0.00010388],[24.39783586 68.2952186 ],[59.38611464 32.0404798 ],2,15.842737436294556
1,17,10.893442079542616,[0.00016282 0.00272851 0.00256569],4.624042749404907,[0.000177   0.00264371],[2.53640041 3.00324517],[87.15337273 32.41662187],2,13.070406436920166
1,18,13.18026009957374,[0.00031389 0.00016679 0.00048068],7.10080885887146,[0.00033177 0.00011198],[45.5039558  48.04309376],[891.40265373  47.47514017],2,6.6209259033203125
1,19,7.376288747781878,[0.0002349  0.00039483 0.00015993],5.151637077331543,[0.00022998 0.00011249],[4.27699243e+25 3.12285623e+02],[149.22115205 124.40967732],2,47.10716390609741
1,20,7.5483852297437,[0.00020085 0.00016357 0.00036442],6.095916509628296,[0.00012234 0.0001374 ],[1.20604983e+02 1.56572733e+10],[ 54.50294686 132.91440815],2,24.454140186309814
1,21,8.00673496903453,[0.00019326 0.00017433 0.00036759],7.085167169570923,[0.00013536 0.00013377],[19422.93306793    94.80961025],[171.06084468  59.87494828],2,15.031485557556152
1,22,8.284869041023114,[0.00018846 0.00015236 0.00034082],5.477185010910034,[0.00023473 0.00011713],[1.40834471e+16 5.09566021e+01],[172.75617208  52.43314214],2,28.040958881378174
1,23,11.659959112315638,[0.00029263],3.1579418182373047,[0.00015438],[147.08068116],[61.77515457],1,6.506286144256592
1,24,10.213270383382284,[0.00032596 0.00016056 0.00104581 0.00088041 0.00120637],6.864147901535034,[0.00019312 0.00012496],[3.52963413e+16 4.99216498e+01],[310.00221385  52.59260038],2,13.131479978561401
1,25,9.959431795088536,[0.00023637 0.00016861 0.00018986 0.00035847 0.00058345 0.00039359],14.129404067993164,[0.00015956 0.00016882 0.000543  ],[8.02675650e+01 1.18522448e+02 6.50621798e+18],[ 38.36640138  41.07011119 846.82506334],3,37.2638840675354
1,26,9.750903404513666,[0.00017184 0.00034368],3.369335412979126,[0.00019897 0.00012802],[45.311156  81.7419272],[231.2439005   35.91430056],2,21.33985424041748
1,27,9.073263880375624,[0.00022531 0.00016995 0.00039525],5.660053730010986,[0.00010834 0.00026848],[1.09881087e+02 3.72426285e+88],[116.16268478  87.88080068],2,24.872962951660156
