row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm,kmeans_shift_original,kmeans_n_original,fhmm_n,kmeans_n_matched
1,1,10.071078941762542,[1.59130000e-04 3.13330000e-04],5.120095729827881,[0.00010058 0.00012355],[ 66.75485456 166.89035113],[ 37.01290748 153.53231837],2,10.452821016311646,[0.00015913 0.00031333],2,2,2
1,2,10.37058022050655,[1.25500000e-04 2.49890000e-04],6.981504917144775,[0.00011085 0.00013377],[ 48.09591848 987.82752629],[67.9375895  36.79876626],2,15.226066827774048,[0.0001255  0.00024989],2,2,2
1,3,15.007143999275138,[1.40829000e-03 3.54750000e-04],7.4594502449035645,[0.00123625 0.0002602 ],[  3.58641842 124.73562887],[107.61614438 131.94768667],2,37.66726565361023,[0.00035475 0.00176304 0.00140829],3,2,2
1,4,19.80927942340052,[2.29328000e-03],2.817124366760254,[0.00283339],[1.00000075],[47.40843952],1,9.054994344711304,[0.00229328],1,1,1
1,5,5.270200924169459,[3.74680000e-04 7.10780000e-04],5.528325319290161,[0.00011604 0.00026565],[11.06840688 16.09071199],[9.82211309 6.17887637],2,17.46262550354004,[0.00037468 0.00108546 0.00071078],3,2,2
1,6,20.162649385707127,[2.56480000e-04 2.57629000e-03],5.282007932662964,[0.00031271 0.00264261],[244.23896809   1.        ],[ 96.52997434 141.57142874],2,20.67275714874268,[0.00025648 0.00017629 0.00043277 0.00275257 0.00257629],5,2,2
1,7,11.890385592953336,[1.84360000e-04 3.68410000e-04],5.627448797225952,[0.00013547 0.00039485],[103.80061863  15.66860943],[93.03482209 74.51206475],2,9.503456830978394,[0.00018436 0.00036841 0.00055278],3,2,2
1,8,20.72988241739175,[4.51365000e-03],2.546674489974976,[0.00451368],[1.],[123.74994647],1,8.394891738891602,[0.00451365],1,1,1
1,9,0.8627602746035372,[1.68608000e-03 1.64060000e-04],6.352568864822388,[0.00170944 0.0001146 ],[  334.78000394 14467.44865182],[108.85190115  53.50694815],2,48.599008321762085,[0.00168608 0.00016406 0.00185014],3,2,2
1,10,13.628454741162017,[1.85870000e-04 2.03650000e-04],3.809080123901367,[0.00010965 0.00012043],[ 18.74118957 416.56938567],[73.74989604 57.2090966 ],2,30.625948429107662,[0.00020365 0.00038952 0.00018587],3,2,2
1,11,7.753874404805774,[1.90390000e-04 3.82320000e-04],5.8102898597717285,[0.00010684 0.00019165],[21.60674392 98.3010237 ],[23.43474442 74.63760474],2,7.38612699508667,[0.00019039 0.00038232],2,2,2
1,12,9.513201123701872,[2.83600000e-04 3.01450000e-04],6.87178373336792,[0.00019062 0.00012524],[4.29446430e+01 5.85864007e+04],[ 52.30680328 120.43301714],2,37.49585580825806,[0.0002836  0.00030145 0.00058505],3,2,2
1,13,19.87779892651146,[1.56120000e-04],2.6425211429595947,[0.00012588],[73.18557259],[67.45181681],1,4.283674955368042,[0.00015612],1,1,1
1,14,10.99000672787039,[1.93120000e-04],2.898571252822876,[0.00013324],[107.95323438],[67.82733551],1,6.195047378540039,[0.00019312],1,1,1
1,15,9.69748566592034,[1.45420000e-04],4.413160800933838,[0.00011155],[50.95043951],[29.35751132],1,4.230963230133057,[0.00014542],1,1,1
1,16,9.84400689070019,[1.84450000e-04 1.52530000e-04],4.607372522354126,[0.00017268 0.00010388],[24.39783586 68.2952186 ],[59.38611464 32.0404798 ],2,15.842737436294556,[0.00015253 0.00018445 0.00033698],3,2,2
1,17,10.893442079542616,[1.62820000e-04 2.56569000e-03],4.624042749404907,[0.000177   0.00264371],[2.53640041 3.00324517],[87.15337273 32.41662187],2,13.070406436920166,[0.00016282 0.00272851 0.00256569],3,2,2
1,18,13.18026009957374,[3.13890000e-04 1.66790000e-04],7.10080885887146,[0.00033177 0.00011198],[45.5039558  48.04309376],[891.40265373  47.47514017],2,6.6209259033203125,[0.00031389 0.00016679 0.00048068],3,2,2
