row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm,kmeans_shift_original,kmeans_n_original,fhmm_n,kmeans_n_matched
1,1,20.838383090276796,[2.05890000e-04 4.16430000e-04],139.7892143726349,[0.0001256  0.00026669],[ 123.44942379 1701.63789879],[ 126.36791563 1598.43033966],2,2850.5619575977325,[0.00020589 0.00041643],2,2,2
1,2,25.66860775439257,[1.71280000e-04],44.25962471961975,[0.00013685],[57.06859708],[55.61948896],1,984.2775416374208,[0.00017128],1,1,1
1,3,16.81757324686147,[2.03030000e-04 1.79780000e-04 1.57753000e-03],356.87754344940186,[0.00027111 0.00012669 0.00149886],[  87.9679137  1254.17336726    3.27091481],[ 148.65354996 1066.15113056   84.19731782],3,16478.191827774048,"[0.0013745  0.00118438 0.00020303 0.00017978 0.00157753 0.00039315
 0.00175731 0.00057293]",8,3,3
1,4,22.506741569499017,[2.49238000e-03],50.56763529777527,[0.00157942],[1.02779651],[42.71824537],1,961.92494225502,[0.00249238],1,1,1
1,5,4.933037070453882,[2.91983000e-03 9.71850000e-04],135.16440272331238,[0.00114862 0.00180341],[1.6271906e+11 1.2488426e+17],[48144.13868284 48144.75710539],2,837.4920501708984,[0.00291983 0.00097185],2,2,2
1,6,19.831949945330493,[1.82270000e-04 4.18460000e-04 2.20060000e-04],371.5536775588989,[0.000138   0.00043166 0.00015475],[630.18111623 154.78126195  57.82811588],[459.14155543  79.04902949 195.79378459],3,11194.195983409882,"[0.00023619 0.00022006 0.00018227 0.00041846 0.00276268 0.00298274
 0.00234422 0.00252649 0.00063852 0.00045625]",10,3,3
1,7,21.84105708901521,[1.67380000e-04 3.32390000e-04],134.80090236663818,[0.00012136 0.00039019],[169.60816953  17.60093123],[161.9691814   91.84733935],2,1367.351550579071,[0.00016738 0.00049977 0.00033239],3,2,2
1,8,23.088676273295764,[2.95040000e-04 4.21808000e-03],133.23727917671204,[0.00010171 0.00416917],[1.16730572e+03 1.01049192e+00],[1270.34160105  147.88110012],2,3767.0605182647705,[0.00029504 0.00421808 0.00392304],3,2,2
1,9,12.874780984882737,[2.77721000e-03 1.75392000e-03],123.77910804748537,[0.00264762 0.00171829],[4551.69958806  253.14177727],[47719.91638832   145.09465889],2,1435.9741306304932,[0.00453113 0.00175392 0.00277721],3,2,2
1,10,20.556026857186986,[4.38420000e-04 2.16810000e-04],144.53221249580383,[0.00018699 0.00012775],[993.61931593 135.42406642],[1006.9186668   91.3372679],2,3392.662921190262,[0.00043842 0.00021681],2,2,2
1,11,17.508715822963097,[4.46387986e-03 4.92045947e-04 1.13322196e-04 3.56068223e-04],590.0065138339996,[0.004734   0.00052116 0.0001149  0.00035163],[          inf 3714.71669592  312.56774406  298.5571185 ],[ 295.          252.49425232  258.60344197 2607.54348984],4,61971.57803487778,"[4.46387986e-03 2.70687568e-04 8.58337298e-05 2.42746042e-04
 1.56912298e-04 7.90400154e-05 3.16620106e-04 1.35778217e-03
 1.56728330e-03 1.13322196e-04 1.99155926e-04 3.78723722e-04
 4.92045947e-04 3.56068223e-04 4.34393587e-04 9.26439534e-04
 8.19320499e-04 1.83797081e-03 7.34791975e-04 1.67440227e-03
 2.00167694e-03 5.58060943e-04 6.43894658e-04]",23,4,4
1,12,25.05743839710721,[1.80000000e-04 3.62500000e-04 2.15240000e-04],357.2762305736542,[0.00013082 0.0003718  0.00012223],[1267.94341996  147.11600553   60.04471653],[ 1028.83233631 11680.3125472     63.5359985 ],3,17949.308996915817,"[0.00023438 0.0003625  0.00018    0.00081212 0.00039524 0.00057774
 0.00021524]",7,3,3
1,13,33.267992931847886,[3.70646000e-03 1.14890000e-04 1.40610000e-04],336.9876267910004,[0.00384993 0.00010577 0.00017437],[  25.99996608  205.35032742 1426.41421454],[12473.73307618   237.39434803  2127.5956862 ],3,7095.821110725403,"[0.00011489 0.00014061 0.00024243 0.00012753 0.00038303 0.00370646
 0.00408949]",7,3,3
1,14,20.028101061726176,[1.96480000e-04 1.63140000e-04],145.88430428504944,[0.00018675 0.00011445],[83.25348151 60.73139226],[147.61136688  59.66007093],2,4052.301141738892,[0.00019648 0.00016314 0.00035962],3,2,2
1,15,24.295050003279968,[1.81820000e-04],45.25091552734375,[0.00014852],[105.87784272],[99.39872838],1,867.0753495693207,[0.00018182],1,1,1
1,16,11.718403055825457,[1.48360000e-04 1.25250000e-04 2.51680000e-04],357.4854109287262,[0.00018611 0.0001708  0.00011188],[1069.31888234   46.04483874   55.29901131],[680.84547634  53.15885174  50.67937452],3,17802.161962509155,[0.00012525 0.00025168 0.00014836 0.00027361 0.0004087  0.00055705],6,3,3
1,17,11.035469989852324,[6.64963000e-03],39.99058794975281,[0.0066375],[16809.0910341],[6551.45082182],1,287.9295780658722,[0.00664963],1,1,1
1,18,14.23075941163766,[1.78650000e-04 4.50580000e-04],133.8678479194641,[0.0001353  0.00036371],[120.03788602  67.37245557],[100.12762321 787.70857889],2,4825.306027650833,[0.00027193 0.00045058 0.00017865],3,2,2
1,19,24.294981741903584,[1.53290000e-04 3.07960000e-04],139.91466975212097,[0.00016805 0.00010688],[192.05825721  55.56850436],[207.82732976  61.71479408],2,4498.4621052742,[0.00015329 0.00030796],2,2,2
1,20,15.812393441974502,[2.88950000e-04 1.42210000e-04 1.29870000e-04],359.70398926734924,[0.00033781 0.00013954 0.00010117],[248.16658823 354.12731046  77.60921357],[3141.83828451  491.67085568   81.45440699],3,17929.155786514282,"[0.00015908 0.00012987 0.00028895 0.00014221 0.00027208 0.00043116
 0.00025476 0.00039697 0.00052684 0.00068592]",10,3,3
1,21,12.1193909519697,[1.55300000e-04 1.79350000e-04],152.3669888973236,[0.00010088 0.00014922],[ 51.39181003 151.70973132],[54.22832631 83.71482827],2,2838.3602788448334,[0.00017935 0.0001553  0.00033465],3,2,2
1,22,8.301947227571663,[9.45900000e-04],44.79000902175903,[0.00094388],[2080.95988243],[2368.92439282],1,608.6147801876068,[0.0009459],1,1,1
1,23,22.233132699717167,[4.60960000e-04 2.33750000e-04],143.04407596588135,[0.00011832 0.00016284],[ 74.21064869 534.41587776],[ 78.97189127 506.62073668],2,4677.897093057632,[0.00046096 0.00023375],2,2,2
1,24,13.40266552124203,[1.43948695e-04 5.75207523e-04 3.56811594e-04 1.07619744e-04],611.084787607193,[0.00014229 0.0005107  0.00035686 0.00010268],[750.92162383  75.17224767 658.1702504   89.89455074],[4.07761505e+02 1.19369179e+00 1.27855053e+04 8.36292913e+01],4,77223.21428084373,"[1.07619744e-04 7.84559670e-05 1.86075704e-04 7.28252271e-05
 1.43948695e-04 2.57199194e-04 8.53696256e-05 1.58194845e-04
 7.61283212e-04 6.82827260e-04 3.30024399e-04 3.07774288e-04
 3.56811594e-04 2.85688118e-04 1.27493258e-04 2.12862898e-04
 9.90601489e-04 1.22566312e-03 9.05231922e-04 2.35061627e-04
 8.10269150e-04 1.11809478e-03 4.15394024e-04 5.75207523e-04
 1.35315640e-03]",25,4,4
1,25,16.635577101628346,[2.76940000e-04 6.05850000e-04 1.49650000e-04],384.3455743789673,[0.00024981 0.0005832  0.00015592],[  96.42086378 7754.94764593   50.54390413],[56.27149052 80.39387636 63.20794131],3,9347.090841770172,"[0.00077244 0.00016659 0.00014965 0.00017926 0.00027694 0.00031624
 0.0004562  0.0004955  0.00060585]",9,3,3
